Class,FPR
0,0.0
1,0.0025906735751295338
2,0.002583979328165375
3,0.007751937984496124
4,0.002583979328165375
5,0.0103359173126615
6,0.002583979328165375
7,0.0
8,0.0
9,0.031007751937984496
A,0.01808785529715762
B,0.002583979328165375
C,0.0
D,0.00516795865633075
E,0.0
F,0.0
G,0.010443864229765013
H,0.0
I,0.0026041666666666665
J,0.0
K,0.0
L,0.0026109660574412533
M,0.0
N,0.007832898172323759
O,0.0
P,0.0
Q,0.010443864229765013
R,0.0
S,0.007853403141361256
T,0.0026246719160104987
U,0.0051813471502590676
V,0.005208333333333333
W,0.0
X,0.0
Y,0.002617801047120419
Z,0.002652519893899204
