Class,FPR
0,0.0
1,0.0051813471502590676
2,0.002583979328165375
3,0.002583979328165375
4,0.007751937984496124
5,0.0
6,0.00516795865633075
7,0.00516795865633075
8,0.0
9,0.00516795865633075
A,0.020671834625323
B,0.002583979328165375
C,0.002583979328165375
D,0.002583979328165375
E,0.0
F,0.005208333333333333
G,0.0
H,0.0
I,0.0026041666666666665
J,0.0
K,0.0025974025974025974
L,0.0026109660574412533
M,0.0026109660574412533
N,0.005221932114882507
O,0.0
P,0.0
Q,0.007832898172323759
R,0.0026041666666666665
S,0.0
T,0.01837270341207349
U,0.0051813471502590676
V,0.018229166666666668
W,0.0026041666666666665
X,0.0
Y,0.0
Z,0.0
