Class,FPR
0,0.0
1,0.0025906735751295338
2,0.00516795865633075
3,0.0
4,0.00516795865633075
5,0.01808785529715762
6,0.0
7,0.0
8,0.0
9,0.00516795865633075
A,0.01808785529715762
B,0.002583979328165375
C,0.0
D,0.0103359173126615
E,0.0
F,0.010416666666666666
G,0.0026109660574412533
H,0.0
I,0.0026041666666666665
J,0.0
K,0.0
L,0.0026109660574412533
M,0.005221932114882507
N,0.0026109660574412533
O,0.0
P,0.0
Q,0.010443864229765013
R,0.0078125
S,0.007853403141361256
T,0.010498687664041995
U,0.018134715025906734
V,0.013020833333333334
W,0.005208333333333333
X,0.0
Y,0.002617801047120419
Z,0.002652519893899204
