Class,FPR
0,0.0
1,0.0025906735751295338
2,0.0
3,0.0
4,0.002583979328165375
5,0.01808785529715762
6,0.002583979328165375
7,0.0
8,0.002583979328165375
9,0.0
A,0.020671834625323
B,0.002583979328165375
C,0.0
D,0.002583979328165375
E,0.0
F,0.018229166666666668
G,0.013054830287206266
H,0.0
I,0.005208333333333333
J,0.0
K,0.0025974025974025974
L,0.005221932114882507
M,0.005221932114882507
N,0.0026109660574412533
O,0.0
P,0.0
Q,0.010443864229765013
R,0.015625
S,0.010471204188481676
T,0.0
U,0.007772020725388601
V,0.013020833333333334
W,0.0
X,0.007832898172323759
Y,0.0
Z,0.0
